case,scenario_id,pre_storage_eue_mwh,residual_eue_bound_mwh,storage_sufficiency_ratio,m1c_eue_mwh,m2_eue_mwh,m3_eue_mwh,bound_minus_m3_mwh,m1c_minus_m3_mwh,m2_minus_m3_mwh
VRE120_base_dur2h,7,36566.712325199966,8765.4151658942,0.7602897660598952,8765.415165894186,8765.415165894186,8765.41516589419,9.094947017729282e-12,-3.637978807091713e-12,-3.637978807091713e-12
VRE120_base_dur2h,8,24945.436746799973,3462.0387580980714,0.8612155484292259,3462.0387580980623,3462.0387580980614,3462.0387580980628,8.640199666842818e-12,-4.547473508864641e-13,-1.3642420526593924e-12
VRE120_base_dur2h,9,13900.730931999982,939.8858388980716,0.9323858692398382,939.8858388980689,939.8858388980689,939.88583889807,1.5916157281026244e-12,-1.1368683772161603e-12,-1.1368683772161603e-12
VRE120_base_dur2h,10,19638.346831999974,1410.3026909307591,0.928186282532055,1410.3026909307582,1410.3026909307564,1410.302690930756,3.183231456205249e-12,2.2737367544323206e-12,4.547473508864641e-13
VRE120_base_dur2h,11,40313.85112839996,11862.600114196124,0.7057438130528974,11862.60011419612,11862.600114196124,11862.600114196124,0.0,-3.637978807091713e-12,0.0
VRE120_base_dur2h,12,19869.128942399977,2066.266494098072,0.8960061862757991,2066.2664940980694,2066.2664940980676,2066.2664940980676,4.547473508864641e-12,1.8189894035458565e-12,0.0
VRE120_base_dur2h,13,23746.44494479997,3720.550160098064,0.8433218038006655,3720.5501600980588,3720.5501600980588,3720.5501600980597,4.547473508864641e-12,-9.094947017729282e-13,-9.094947017729282e-13
VRE120_base_dur2h,14,18393.798245999984,4139.071128898066,0.7749746369106679,4139.071128898065,4139.071128898063,4139.071128898064,1.8189894035458565e-12,9.094947017729282e-13,-9.094947017729282e-13
VRE120_base_dur2h,15,43791.13605639996,21370.1723714615,0.5119977626536523,21546.591648854184,21546.591648854184,21546.591648854184,-176.4192773926843,0.0,0.0
VRE120_base_dur2h,16,23056.623701599965,3105.1921416980585,0.8653232068196273,3105.192141698064,3105.192141698063,3105.192141698064,-5.4569682106375694e-12,0.0,-9.094947017729282e-13
VRE120_base_dur2h,17,14618.263687599972,672.1881752653771,0.9540172355875914,672.1881752653744,672.1881752653753,672.1881752653751,2.0463630789890885e-12,-6.821210263296962e-13,2.2737367544323206e-13
VRE120_base_dur2h,18,34907.47428799997,8898.74399379612,0.7450762572972742,8898.74399379612,8898.74399379612,8898.743993796123,-1.8189894035458565e-12,-1.8189894035458565e-12,-1.8189894035458565e-12
VRE120_base_dur2h,19,27280.860125999963,3846.641283763427,0.8589985335507294,3846.64128376343,3846.641283763436,3846.6412837634352,-8.185452315956354e-12,-5.4569682106375694e-12,9.094947017729282e-13
VRE120_base_dur2h,20,30448.88220039996,3520.1292925634407,0.8843921668652519,3520.129292563438,3520.1292925634434,3520.129292563443,-2.2737367544323206e-12,-5.002220859751105e-12,4.547473508864641e-13
VRE120_base_dur2h_ls1p225,1,48865.73282532512,16109.422835919271,0.670332932619596,16109.422835919268,16109.422835919264,16109.422835919266,5.4569682106375694e-12,1.8189894035458565e-12,-1.8189894035458565e-12
VRE120_base_dur2h_ls1p225,2,66332.49625617515,22280.45188472503,0.6641095519957783,22280.451884725044,22280.451884725037,22280.451884725037,-7.275957614183426e-12,7.275957614183426e-12,0.0
VRE120_base_dur2h_ls1p225,3,58026.24306327514,20383.870141811574,0.6487129087508934,20383.870141811574,20383.870141811567,20383.87014181157,3.637978807091713e-12,3.637978807091713e-12,-3.637978807091713e-12
VRE120_base_dur2h_ls1p225,4,75443.41786650015,33156.81081311543,0.5605075730822853,33156.810813115444,33156.810813115444,33156.810813115444,-1.4551915228366852e-11,0.0,0.0
